sku,precio,proveedor,sku_original,url,scraped_at,raw_id
EQ-CEN-YOR-004,29838.83,Grupo Coresa,COR-181029-00008602,https://www.grupocoresa.com/juego-dividido-tipo-americano-2tr-s-f-r410a-220-1-60-13seer-2068,2025-12-26 19:25:26.188819+00,1253
EQ-MSO-15T220-005,7490.68,Grupo Coresa,COR-181029-00008912,https://www.grupocoresa.com/minisplit-1-5tr-h-p-220v-r410a-ef-estandar-11seer-2198,2025-12-26 19:25:29.574989+00,1254
EQ-MSO-15T220-005,7490.68,Grupo Coresa,COR-181029-00008912,https://www.grupocoresa.com/minisplit-1-5tr-h-p-220v-r410a-ef-estandar-11seer-2198,2025-12-26 19:25:29.574989+00,1255
EQ-CEN-YOR-003,29287.96,Grupo Coresa,COR-181029-00009602,https://www.grupocoresa.com/juego-dividido-tipo-americano-3tr-s-f-r410a-220-1-60-13seer-2069,2025-12-26 19:25:29.574989+00,1256
EQ-CEN-YOR-003,29287.96,Grupo Coresa,COR-181029-00009602,https://www.grupocoresa.com/juego-dividido-tipo-americano-3tr-s-f-r410a-220-1-60-13seer-2069,2025-12-26 19:25:29.574989+00,1257
EQ-FAN-YOR-002,8926.65,Grupo Coresa,COR-181104-00003062,https://www.grupocoresa.com/fan-coil-agua-1tr-s-f-4h-1m-120-1-60-izq-2603,2025-12-26 19:25:29.574989+00,1258
EQ-FAN-YOR-002,8926.65,Grupo Coresa,COR-181104-00003062,https://www.grupocoresa.com/fan-coil-agua-1tr-s-f-4h-1m-120-1-60-izq-2603,2025-12-26 19:25:29.574989+00,1259
EQ-FAN-YOR-002,7587.65,Grupo Coresa,COR-181104-00004062,https://www.grupocoresa.com/fan-coil-agua-1tr-s-f-4h-1m-120-1-60-der-2604,2025-12-26 19:25:29.574989+00,1260
EQ-FAN-YOR-002,7587.65,Grupo Coresa,COR-181104-00004062,https://www.grupocoresa.com/fan-coil-agua-1tr-s-f-4h-1m-120-1-60-der-2604,2025-12-26 19:25:29.574989+00,1261
EQ-MAN-YOR-002,76110.27,Grupo Coresa,COR-181201-00004968,https://www.grupocoresa.com/manejadora-10tr-s-f-r410a-220-460-3-60-dual-11eer-8694,2025-12-26 19:25:29.574989+00,1262
EQ-MAN-YOR-002,76110.27,Grupo Coresa,COR-181201-00004968,https://www.grupocoresa.com/manejadora-10tr-s-f-r410a-220-460-3-60-dual-11eer-8694,2025-12-26 19:25:29.574989+00,1263
EQ-MAN-YOR-003,118888.98,Grupo Coresa,COR-190227-00061101,https://www.grupocoresa.com/manejadora-agua-helada-20tr-s-f-3h-230-3-60-10116,2025-12-26 19:25:29.574989+00,1264
EQ-MAN-YOR-003,118888.98,Grupo Coresa,COR-190227-00061101,https://www.grupocoresa.com/manejadora-agua-helada-20tr-s-f-3h-230-3-60-10116,2025-12-26 19:25:29.574989+00,1265
EQ-MSO-1T110-004,4544.43,Grupo Coresa,COR-190530-00080501,https://www.grupocoresa.com/minisplit-1tr-s-f-110v-r410a-ef-estandar-11seer-10508,2025-12-26 19:25:29.574989+00,1266
EQ-MSO-1T110-004,4544.43,Grupo Coresa,COR-190530-00080501,https://www.grupocoresa.com/minisplit-1tr-s-f-110v-r410a-ef-estandar-11seer-10508,2025-12-26 19:25:29.574989+00,1267
EQ-PIT-YOR-002,38822.89,Grupo Coresa,COR-190802-00022801,https://www.grupocoresa.com/juego-pisotecho-4tr-s-f-220-1-60-r410-inverter-16seer-10822,2025-12-26 19:25:29.574989+00,1268
EQ-PIT-YOR-002,38822.89,Grupo Coresa,COR-190802-00022801,https://www.grupocoresa.com/juego-pisotecho-4tr-s-f-220-1-60-r410-inverter-16seer-10822,2025-12-26 19:25:29.574989+00,1269
EQ-CAS-YOR-001,25130.66,Grupo Coresa,COR-200115-00038411,https://www.grupocoresa.com/juego-cassette-2tr-s-f-220-1-60-r410a-inverter-20seer-11483,2025-12-26 19:25:29.574989+00,1270
EQ-CAS-YOR-001,25130.66,Grupo Coresa,COR-200115-00038411,https://www.grupocoresa.com/juego-cassette-2tr-s-f-220-1-60-r410a-inverter-20seer-11483,2025-12-26 19:25:29.574989+00,1271
EQ-CAS-YOR-002,31756.37,Grupo Coresa,COR-200115-00048411,https://www.grupocoresa.com/juego-cassette-3tr-s-f-220-1-60-r410a-inverter-17seer-11484,2025-12-26 19:25:29.574989+00,1272
EQ-CAS-YOR-002,31756.37,Grupo Coresa,COR-200115-00048411,https://www.grupocoresa.com/juego-cassette-3tr-s-f-220-1-60-r410a-inverter-17seer-11484,2025-12-26 19:25:29.574989+00,1273
EQ-CAS-YOR-003,40890.16,Grupo Coresa,COR-200115-00058411,https://www.grupocoresa.com/juego-cassette-4tr-s-f-220-1-60-r410a-inverter-16seer-11485,2025-12-26 19:25:29.574989+00,1274
EQ-CAS-YOR-003,40890.16,Grupo Coresa,COR-200115-00058411,https://www.grupocoresa.com/juego-cassette-4tr-s-f-220-1-60-r410a-inverter-16seer-11485,2025-12-26 19:25:29.574989+00,1275
EQ-FAN-YOR-003,30841.29,Grupo Coresa,COR-200115-00087411,https://www.grupocoresa.com/juego-fan-coil-3tr-s-f-220-1-60-r410a-inverter-17seer-11478,2025-12-26 19:25:29.574989+00,1276
EQ-FAN-YOR-003,30841.29,Grupo Coresa,COR-200115-00087411,https://www.grupocoresa.com/juego-fan-coil-3tr-s-f-220-1-60-r410a-inverter-17seer-11478,2025-12-26 19:25:29.574989+00,1277
EQ-PAQ-LEN-001,19667.48,Grupo Coresa,COR-200205-00033511,https://www.grupocoresa.com/paquete-4tr-s-f-220-1-60-13seer-11533,2025-12-26 19:25:33.808869+00,1278
